MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368113430,2020-06-01T00:00:01,30.49381,-91.75385,0.0,113.5,352.0,,,,,12,,,,,A
367777560,2020-06-01T00:00:01,29.73467,-95.05100,0.2,196.3,511.0,,,,,2,,,,,A
368102470,2020-06-01T00:00:01,30.07016,-90.90195,5.3,259.5,511.0,,,,,0,,,,,A
368103360,2020-06-01T00:00:00,36.82320,-76.28866,0.0,314.1,249.0,,,,,12,,,,,A
316039252,2020-06-01T00:00:02,49.25827,-125.87022,0.0,360.0,511.0,,,,,15,,,,,A
368014850,2020-06-01T00:00:04,36.99629,-89.14444,0.2,32.7,307.0,,,,,15,,,,,A
